,size,interval,temp,test_acc,train_acc,eps_0.1,eps_0.2,eps_0.3
161,2,5,2,0.4284,0.6674,0.0531,0.0235,0.0137
162,2,20,1,0.4304,0.76042,0.0467,0.0199,0.0147
163,2,40,9,0.4127,0.66584,0.0493,0.026,0.0188
164,2,5,1,0.4326,0.75126,0.0481,0.0182,0.0137
165,2,75,10,0.4079,0.70712,0.0638,0.0317,0.0224
166,2,100,7,0.4163,0.7434,0.073,0.0322,0.0189
167,2,95,5,0.4151,0.7945,0.0867,0.0424,0.0278
168,2,30,2,0.429,0.75614,0.0652,0.027,0.0163
169,2,50,6,0.4137,0.69586,0.0564,0.0285,0.0218
170,2,40,8,0.4134,0.5977,0.0473,0.0235,0.0151
171,2,60,3,0.4225,0.71768,0.0708,0.0308,0.0203
172,2,55,1,0.4031,0.7457,0.0745,0.0394,0.0246
173,2,30,10,0.4124,0.7033,0.0564,0.025,0.0172
174,2,60,2,0.4131,0.7011,0.069,0.0327,0.0232
175,2,85,1,0.4055,0.57198,0.0516,0.0241,0.0144
176,2,40,3,0.4319,0.724,0.0608,0.0292,0.0172
177,2,25,1,0.4222,0.6743,0.0523,0.025,0.0165
178,2,20,9,0.4093,0.75412,0.0623,0.0283,0.0188
179,2,25,7,0.4158,0.74626,0.0635,0.0293,0.0193
180,2,90,1,0.4042,0.5996,0.0525,0.0247,0.0167
181,2,35,4,0.4295,0.72398,0.0627,0.0278,0.0192
182,2,90,2,0.4145,0.64132,0.0594,0.0273,0.0186
183,2,100,10,0.41,0.68446,0.0659,0.0307,0.0206
184,2,25,5,0.4186,0.83504,0.08,0.0408,0.0262
185,2,5,10,0.4082,0.64882,0.0559,0.0299,0.0199
186,2,70,4,0.4231,0.673,0.0612,0.0264,0.0168
187,2,65,7,0.4149,0.71392,0.0593,0.0296,0.0213
188,2,90,5,0.4177,0.72538,0.0687,0.0263,0.0157
189,2,70,7,0.4153,0.6511,0.0639,0.0275,0.0194
190,2,10,9,0.4139,0.69928,0.0619,0.0292,0.0169
191,2,10,1,0.4428,0.64476,0.0506,0.0268,0.0157
192,2,40,7,0.4168,0.64716,0.0563,0.0283,0.0179
193,2,30,5,0.4146,0.7211,0.0632,0.03,0.0209
194,2,5,6,0.4188,0.66802,0.0515,0.0248,0.0146
195,2,55,5,0.4167,0.70334,0.0649,0.029,0.0192
196,2,20,4,0.4223,0.74526,0.0633,0.028,0.017
197,2,15,6,0.4152,0.65038,0.0547,0.0234,0.0164
198,2,30,7,0.4169,0.69042,0.0692,0.0314,0.0205
199,2,65,9,0.4179,0.65208,0.0517,0.0212,0.0123
200,2,35,9,0.4123,0.72358,0.0644,0.0324,0.0213
201,2,30,4,0.4255,0.80924,0.0759,0.0345,0.0186
202,2,25,3,0.4298,0.77778,0.063,0.0272,0.0158
203,2,50,7,0.4067,0.63886,0.0594,0.0298,0.0203
204,2,15,10,0.4085,0.72422,0.0648,0.0348,0.0228
205,2,70,10,0.4155,0.68856,0.059,0.0283,0.018
206,2,100,2,0.416,0.68566,0.075,0.0351,0.0225
207,2,80,2,0.419,0.63356,0.0486,0.0224,0.0165
208,2,10,10,0.4074,0.57038,0.0473,0.0243,0.0169
209,2,10,4,0.424,0.72422,0.0545,0.0243,0.017
210,2,55,10,0.4225,0.68482,0.0548,0.026,0.0197
