,size,interval,temp,test_acc,train_acc,eps_0.1,eps_0.2,eps_0.3
137,2,85,2.0,0.4102,0.65192,0.0,0.0,0.0
138,2,40,1.0,0.4069,0.62622,0.0,0.0,0.0
139,2,5,1.0,0.4326,0.75126,0.0,0.0,0.0
140,2,35,6.0,0.4158,0.66648,0.0,0.0,0.0
141,2,100,3.0,0.4123,0.6472,0.0,0.0,0.0
142,2,35,8.0,0.4152,0.66534,0.0,0.0,0.0
143,2,20,8.0,0.4168,0.66434,0.0,0.0,0.0
144,2,70,3.0,0.4177,0.67996,0.0,0.0,0.0
145,2,35,5.0,0.4199,0.712,0.0,0.0,0.0
146,2,5,2.0,0.4284,0.6674,0.0,0.0,0.0
147,2,55,7.0,0.414,0.64412,0.0,0.0,0.0
148,2,10,3.0,0.427,0.65982,0.0,0.0,0.0
149,2,35,9.0,0.4123,0.72358,0.0,0.0,0.0
150,2,60,1.0,0.4103,0.65594,0.0,0.0,0.0
151,2,65,6.0,0.4132,0.73426,0.0,0.0,0.0
152,2,60,4.0,0.4185,0.84404,0.0,0.0,0.0
153,2,0,9.0,0.4106,0.59806,0.0,0.0,0.0
154,2,0,2.0,0.4124,0.65754,0.0,0.0,0.0
155,2,45,6.0,0.4119,0.72876,0.0,0.0,0.0
156,2,10,8.0,0.4148,0.68836,0.0,0.0,0.0
157,2,20,7.0,0.4129,0.67014,0.0,0.0,0.0
158,2,55,1.0,0.4031,0.7457,0.0,0.0,0.0
159,2,15,9.0,0.411,0.68424,0.0,0.0,0.0
160,2,30,8.0,0.4106,0.7501,0.0,0.0,0.0
161,2,70,5.0,0.4194,0.75072,0.0,0.0,0.0
162,2,40,3.0,0.4319,0.724,0.0,0.0,0.0
163,2,85,4.0,0.4174,0.80788,0.0,0.0,0.0
164,2,85,5.0,0.417,0.7153,0.0,0.0,0.0
165,2,70,4.0,0.4231,0.673,0.0,0.0,0.0
166,2,30,1.0,0.414,0.69952,0.0,0.0,0.0
167,2,95,6.0,0.4154,0.7664,0.0,0.0,0.0
168,2,15,3.0,0.4278,0.79902,0.0,0.0,0.0
169,2,95,7.0,0.4156,0.73242,0.0,0.0,0.0
170,2,30,2.0,0.429,0.75614,0.0,0.0,0.0
171,2,0,4.0,0.4058,0.6095,0.0,0.0,0.0
172,2,65,4.0,0.4245,0.72202,0.0,0.0,0.0
173,2,80,9.0,0.4161,0.6919,0.0,0.0,0.0
174,2,80,5.0,0.4229,0.65986,0.0,0.0,0.0
175,2,100,5.0,0.4135,0.63782,0.0,0.0,0.0
176,2,90,1.0,0.4042,0.5996,0.0,0.0,0.0
177,2,80,3.0,0.4203,0.67802,0.0,0.0,0.0
178,2,10,5.0,0.4184,0.70456,0.0,0.0,0.0
179,2,75,3.0,0.4142,0.72736,0.0,0.0,0.0
180,2,100,6.0,0.4163,0.72468,0.0,0.0,0.0
181,2,40,9.0,0.4127,0.66584,0.0,0.0,0.0
182,2,70,10.0,0.4155,0.68856,0.0,0.0,0.0
183,2,35,1.0,0.4114,0.65148,0.0,0.0,0.0
184,2,100,9.0,0.4093,0.6372,0.0,0.0,0.0
185,2,80,1.0,0.4168,0.61696,0.0,0.0,0.0
186,2,70,7.0,0.4153,0.6511,0.0,0.0,0.0
187,2,80,6.0,0.4139,0.6627,0.0,0.0,0.0
188,2,50,8.0,0.4096,0.7962,0.0,0.0,0.0
189,2,75,7.0,0.4127,0.64544,0.0,0.0,0.0
190,2,30,7.0,0.4169,0.69042,0.0,0.0,0.0
191,2,10,10.0,0.4074,0.57038,0.0,0.0,0.0
192,2,55,6.0,0.4153,0.7217,0.0,0.0,0.0
193,2,95,2.0,0.4195,0.61382,0.0,0.0,0.0
194,2,50,10.0,0.4138,0.6963,0.0,0.0,0.0
195,2,10,7.0,0.4165,0.7083,0.0,0.0,0.0
196,2,5,7.0,0.411,0.68138,0.0,0.0,0.0
197,2,0,10.0,0.4121,0.701,0.0,0.0,0.0
198,2,15,8.0,0.4078,0.6378,0.0,0.0,0.0
199,2,55,2.0,0.4104,0.63476,0.0,0.0,0.0
200,2,25,8.0,0.4089,0.66774,0.0,0.0,0.0
201,2,100,7.0,0.4163,0.7434,0.0,0.0,0.0
202,2,50,1.0,0.409,0.68856,0.0,0.0,0.0
203,2,85,7.0,0.4147,0.633,0.0,0.0,0.0
204,2,75,4.0,0.4184,0.60158,0.0,0.0,0.0
205,2,20,9.0,0.4093,0.75412,0.0,0.0,0.0
206,2,10,4.0,0.424,0.72422,0.0,0.0,0.0
207,2,25,5.0,0.4186,0.83504,0.0,0.0,0.0
208,2,100,1.0,0.4101,0.6555,0.0,0.0,0.0
209,2,30,4.0,0.4255,0.80924,0.0,0.0,0.0
210,2,75,8.0,0.4123,0.73312,0.0,0.0,0.0
