,size,interval,temp,test_acc,train_acc,eps_0.100,sig_0.100,sig_0.200,sig_0.300
155,2,180,16.0,0.4115,0.6312,0.0,0.0,0.0,0.0
156,2,140,20.0,0.4092,0.69984,0.0,0.0,0.0,0.0
157,2,30,4.0,0.4217,0.63122,0.0,0.0,0.0,0.0
158,2,80,10.0,0.4099,0.70306,0.0,0.0,0.0,0.0
159,2,100,6.0,0.4213,0.65042,0.0,0.0,0.0,0.0
160,2,170,8.0,0.4122,0.70088,0.0,0.0,0.0,0.0
161,2,10,6.0,0.4162,0.68678,0.0,0.0,0.0,0.0
162,2,130,4.0,0.4108,0.67098,0.0,0.0,0.0,0.0
163,2,200,8.0,0.4176,0.71056,0.0,0.0,0.0,0.0
164,2,130,16.0,0.4123,0.66554,0.0,0.0,0.0,0.0
165,2,10,20.0,0.4107,0.73394,0.0,0.0,0.0,0.0
166,2,120,6.0,0.4177,0.68298,0.0,0.0,0.0,0.0
167,2,30,18.0,0.415,0.64426,0.0,0.0,0.0,0.0
168,2,40,2.0,0.4204,0.72044,0.0,0.0,0.0,0.0
169,2,130,20.0,0.4082,0.6609,0.0,0.0,0.0,0.0
170,2,20,12.0,0.4114,0.65652,0.0,0.0,0.0,0.0
171,2,200,20.0,0.4105,0.6166,0.0,0.0,0.0,0.0
172,2,0,0.0,0.006,0.007,0.0,0.0,0.0,0.0
173,2,10,14.0,0.4112,0.7022,0.0,0.0,0.0,0.0
174,2,180,12.0,0.413,0.62198,0.0,0.0,0.0,0.0
175,2,40,18.0,0.4064,0.7138,0.0,0.0,0.0,0.0
176,2,50,4.0,0.4194,0.77416,0.0,0.0,0.0,0.0
177,2,170,16.0,0.407,0.71882,0.0,0.0,0.0,0.0
178,2,190,10.0,0.4177,0.6597,0.0,0.0,0.0,0.0
179,2,90,18.0,0.4105,0.6392,0.0,0.0,0.0,0.0
180,2,190,2.0,0.4141,0.6341,0.0,0.0,0.0,0.0
181,2,180,6.0,0.4121,0.67204,0.0,0.0,0.0,0.0
182,2,70,20.0,0.4107,0.60924,0.0,0.0,0.0,0.0
183,2,190,16.0,0.4134,0.65976,0.0,0.0,0.0,0.0
184,2,50,12.0,0.4098,0.62118,0.0,0.0,0.0,0.0
185,2,160,10.0,0.4085,0.6218,0.0,0.0,0.0,0.0
186,2,200,2.0,0.4096,0.6027,0.0,0.0,0.0,0.0
187,2,160,2.0,0.4133,0.68282,0.0,0.0,0.0,0.0
188,2,70,16.0,0.4102,0.6962,0.0,0.0,0.0,0.0
189,2,10,4.0,0.4177,0.7465,0.0,0.0,0.0,0.0
190,2,90,10.0,0.4105,0.66874,0.0,0.0,0.0,0.0
191,2,140,18.0,0.4134,0.66714,0.0,0.0,0.0,0.0
192,2,100,8.0,0.4125,0.62508,0.0,0.0,0.0,0.0
193,2,50,20.0,0.4095,0.65726,0.0,0.0,0.0,0.0
194,2,180,18.0,0.4126,0.70252,0.0,0.0,0.0,0.0
195,2,120,8.0,0.4099,0.7267,0.0,0.0,0.0,0.0
196,2,20,4.0,0.4236,0.73106,0.0,0.0,0.0,0.0
197,2,60,18.0,0.4102,0.63344,0.0,0.0,0.0,0.0
198,2,180,20.0,0.4113,0.591,0.0,0.0,0.0,0.0
199,2,80,14.0,0.4072,0.70146,0.0,0.0,0.0,0.0
200,2,180,14.0,0.4121,0.63658,0.0,0.0,0.0,0.0
201,2,70,4.0,0.4184,0.70308,0.0,0.0,0.0,0.0
202,2,40,16.0,0.4094,0.66764,0.0,0.0,0.0,0.0
203,2,80,16.0,0.4101,0.70684,0.0,0.0,0.0,0.0
204,2,130,10.0,0.4162,0.70164,0.0,0.0,0.0,0.0
205,2,200,16.0,0.4167,0.66586,0.0,0.0,0.0,0.0
206,2,120,20.0,0.4072,0.64092,0.0,0.0,0.0,0.0
207,2,100,4.0,0.4186,0.77508,0.0,0.0,0.0,0.0
208,2,30,8.0,0.4107,0.75694,0.0,0.0,0.0,0.0
209,2,130,18.0,0.4092,0.691,0.0,0.0,0.0,0.0
210,2,140,14.0,0.4182,0.65142,0.0,0.0,0.0,0.0
