,size,interval,temp,test_diff,train_diff
58,2,25,7.0,63.97013539657588,115.52646138980454
59,2,55,4.0,74.17652746362896,135.81603049944067
60,2,60,7.0,73.23799362992885,144.7887402282201
61,2,5,3.0,45.28539059743771,100.99375367442286
62,2,100,4.0,78.29931178856236,137.4515042319472
63,2,80,8.0,73.65623674161951,149.91855862017218
64,2,0,8.0,52.29567521778809,123.59266750474116
65,2,90,5.0,77.01410179311318,136.68604966080116
66,2,60,6.0,74.16654743084985,130.75315931890518
67,2,35,4.0,67.34386238389695,127.15635752022979
68,2,85,6.0,74.87494456905294,153.47511631572397
69,2,25,6.0,61.84220248190147,128.26987997723785
70,2,0,3.0,44.01675789498742,105.95014212915196
71,2,85,8.0,72.6728005343127,158.51123161112275
72,2,5,10.0,48.37169168677714,105.4230178628581
73,2,65,2.0,74.07124816477376,158.51370208912542
74,2,55,5.0,73.5895168633923,140.06659967226304
75,2,0,7.0,57.30773732937377,138.7950236634945
76,2,95,10.0,74.29649875036172,137.71761189114486
77,2,55,3.0,76.20253709789623,129.64483484938765
78,2,45,1.0,68.98690362013467,150.50809130035168
79,2,70,1.0,72.04618879796836,159.13327256579623
80,2,40,8.0,68.141801970459,156.78517722308763
81,2,20,5.0,58.89572394349292,109.27588812982715
82,2,10,1.0,41.09017183804039,78.74785773375838
83,2,65,1.0,72.15944395269756,153.35117862075597
84,2,65,5.0,75.69490570705534,130.7692460142101
85,2,35,2.0,66.89823997474635,136.3181882123585
86,2,50,2.0,72.18566014971394,151.8173501695376
87,2,85,1.0,72.46519571383044,170.1875
88,2,25,3.0,63.64241841629685,108.36033367456238
89,2,75,1.0,73.19077570594193,150.93863224213013
90,2,40,5.0,69.84888823381515,137.16659863556433
91,2,60,3.0,74.71126060332205,136.5034483309854
92,2,50,6.0,72.02126422106183,141.7571647219286
93,2,75,9.0,72.63070787595629,149.95363866875655
94,2,45,4.0,74.24457774288133,117.53648037418
95,2,100,10.0,74.14992532552714,148.78875545551148
96,2,0,0.0,9.942490194467876,22.032917019156745
97,2,50,5.0,70.76112779649043,153.46714326688954
98,2,60,5.0,73.02839839854254,145.67242387674133
99,2,45,5.0,73.41879748551287,127.15818151027483
100,2,40,7.0,68.66114641734254,148.04921584560992
101,2,50,4.0,71.7072805371341,144.41227197463172
102,2,90,8.0,74.44526289811024,142.39706397298013
103,2,20,6.0,57.09378207100905,115.4384051805334
104,2,50,7.0,71.2787873588191,153.53073796474763
105,2,85,9.0,72.22461167254554,157.75485952301122
106,2,60,10.0,71.19955039578902,150.8591411507768
107,2,90,2.0,75.26819884793643,153.9032709102539
108,2,65,3.0,74.48150200301414,150.95370642808012
109,2,40,6.0,70.7100255610458,132.42936649163207
110,2,90,4.0,79.56784828351681,125.03110550479029
111,2,15,2.0,51.66320185374935,93.08129742159538
112,2,55,10.0,70.56940566297126,147.64418932225203
113,2,35,10.0,65.80333284326296,146.82765859375746
114,2,90,3.0,76.55334128893395,149.1694453884575
115,2,60,8.0,70.95834289060906,152.57746495632964
116,2,65,10.0,72.37149508460669,151.15914755854175
117,2,80,4.0,78.84583082866526,124.92010337236557
118,2,30,9.0,64.6085871324393,133.1463597887678
119,2,10,2.0,44.120407427430905,88.72535144073113
120,2,90,7.0,74.9499149171882,145.54773969818288
121,2,20,2.0,56.19190359203784,98.7111919392249
122,2,10,9.0,52.307219062148825,105.16086542620073
123,2,5,8.0,49.62542309328455,108.81563213470297
124,2,0,6.0,52.62014015935937,126.32152212954449
125,2,80,2.0,74.03690551951945,153.68080887223687
126,2,30,6.0,64.03910395951445,142.27998365898134
127,2,45,7.0,69.79653395652072,150.20797431186867
128,2,20,3.0,59.44220497610999,96.40710595244003
129,2,10,6.0,47.74477433774821,99.56903227158533
130,2,20,10.0,60.95823164970729,108.50150758601237
131,2,55,8.0,72.21024736295223,139.40982608616582
132,2,65,9.0,71.57655088587848,153.11221247625872
133,2,25,1.0,59.86249094604755,120.08330848441219
134,2,95,5.0,79.4702031178589,119.68087449024594
135,2,15,6.0,53.19231029951604,104.82313974023103
136,2,95,9.0,73.62895588375031,146.38669493203608
137,2,85,2.0,74.73636280808192,151.6005364642553
138,2,40,1.0,68.06121583958443,153.21325262930097
139,2,5,1.0,34.976594783042955,69.42953233990201
140,2,35,6.0,66.84264696378354,139.16328510736946
141,2,100,3.0,76.81508717164552,152.92951807940807
142,2,35,8.0,66.7634912922568,139.69784637298457
143,2,20,8.0,57.94976104081448,115.39422493538184
144,2,70,3.0,75.81815789378064,145.42650098073597
145,2,35,5.0,67.23849445606847,129.6650959563714
146,2,5,2.0,40.31721447723199,87.79703211189003
147,2,55,7.0,71.17646287353355,152.74035234467348
148,2,10,3.0,47.428644492114415,96.9870319939733
149,2,35,9.0,67.47383752240567,130.82554133511164
150,2,60,1.0,70.90659431384009,153.51479723059273
151,2,65,6.0,76.01940349036718,133.99921291746455
152,2,60,4.0,78.41602669217244,105.09329932255434
153,2,0,9.0,51.78126650195875,121.38961436862093
154,2,0,2.0,38.72693365895368,95.54802355196836
155,2,45,6.0,72.17033075041986,134.02222588529858
156,2,10,8.0,50.48648585419914,101.41178239916208
157,2,20,7.0,57.853583375405535,114.60335383808582
158,2,55,1.0,72.75914421161268,135.46116977062098
159,2,15,9.0,54.507099774077595,104.17322375195558
160,2,30,8.0,67.51273751346852,120.81570498206142
161,2,70,5.0,75.99943783200801,130.15431045973853
162,2,40,3.0,69.98974534262145,129.78245770567378
163,2,85,4.0,79.93224669993957,115.38729366382807
164,2,85,5.0,76.84594852487345,138.46892278820184
