,size,interval,temp,test_logit_diff,train_logit_diff,test_soft_diff,train_soft_diff,avg_train_entropy,avg_test_entropy
126,2,30,6.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2,45,7.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2,10,6.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2,55,8.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2,65,9.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2,95,5.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2,95,9.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2,85,2.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2,35,6.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2,100,3.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2,35,8.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2,20,8.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2,70,3.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2,35,5.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2,55,7.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2,35,9.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2,65,6.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2,60,4.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2,45,6.0,0.0,0.0,0.0,0.0,0.0,0.0
